time,X,Y,Z
0.015912771224975586,0.01,0.02,-9.7
0.04087567329406738,-0.01,0.02,-9.7
0.06585931777954102,-0.0,0.02,-9.71
0.09076499938964844,0.0,0.01,-9.71
0.11566686630249023,0.0,0.02,-9.69
0.14055943489074707,0.03,0.03,-9.69
0.16555356979370117,-0.0,0.01,-9.73
0.19055414199829102,-0.01,0.02,-9.71
0.21546673774719238,0.0,0.03,-9.72
0.24045395851135254,-0.01,0.03,-9.72
0.2653639316558838,0.0,0.03,-9.72
0.2903454303741455,-0.0,0.02,-9.7
0.31534314155578613,-0.0,0.02,-9.7
0.340256929397583,0.03,0.02,-9.72
0.36515331268310547,0.0,0.03,-9.7
0.39014172554016113,-0.0,0.01,-9.71
0.41504812240600586,0.0,0.0,-9.71
0.4399435520172119,0.01,0.02,-9.71
0.4648444652557373,0.0,0.02,-9.69
0.48982954025268555,-0.0,0.02,-9.72
0.5147397518157959,0.0,0.02,-9.76
0.5397191047668457,0.01,0.02,-9.73
0.5646116733551025,0.01,0.03,-9.71
0.5894961357116699,0.01,0.02,-9.71
0.6144027709960938,0.01,0.02,-9.67
0.6394600868225098,-0.0,0.03,-9.69
0.664376974105835,0.0,0.03,-9.71
0.689279317855835,0.02,0.03,-9.71
0.7141621112823486,0.01,0.03,-9.71
0.7390453815460205,0.01,0.03,-9.72
0.7639551162719727,0.0,0.02,-9.72
0.7888493537902832,0.0,0.02,-9.71
0.8138148784637451,-0.0,0.03,-9.7
0.8388235569000244,-0.0,0.03,-9.71
0.8637533187866211,0.0,0.02,-9.72
0.8886048793792725,0.01,0.02,-9.71
0.9135386943817139,0.03,0.01,-9.71
0.938431978225708,0.01,0.04,-9.7
0.9633705615997314,0.0,0.04,-9.7
0.9881851673126221,0.01,0.04,-9.71
1.013089656829834,0.02,0.03,-9.73
1.0379939079284668,0.01,0.01,-9.69
1.0630059242248535,-0.0,0.03,-9.7
1.088761329650879,-0.01,0.03,-9.7
1.1129150390625,0.0,0.03,-9.69
1.1377410888671875,0.01,0.03,-9.75
1.162630319595337,0.0,0.02,-9.73
1.1875231266021729,0.0,0.03,-9.71
1.212416172027588,0.0,0.02,-9.72
1.237457036972046,-0.0,0.03,-9.74
1.262470006942749,-0.0,0.02,-9.72
1.2873592376708984,0.0,0.03,-9.7
1.312230110168457,0.0,0.02,-9.74
1.3371410369873047,0.0,0.01,-9.71
1.3620097637176514,0.0,0.03,-9.72
1.3869552612304688,0.0,0.03,-9.72
1.4118444919586182,0.0,0.02,-9.73
1.4368271827697754,-0.0,0.01,-9.74
